,구분,왕란,왕란,특란,특란,대란,대란,중란,중란,소란,소란
0,구분,30개,10개,30개,10개,30개,10개,30개,10개,30개,10개
1,2023-06-26,"5,488
						                    		
					                    	
59","1,829
						                    		
						                    	
20","5,266
						                    		
					                    	
8","1,755
						                    		
					                    	
3","5,019
						                    		
					                    	
70","1,673
						                    		
					                    	
23","4,653
						                    		
					                    	
35","1,551
						                    		
					                    	
12",,
2,2023-06-23,"5,429
						                    		
					                    	
77","1,810
						                    		
						                    	
26","5,258
						                    		
					                    	
34","1,753
						                    		
					                    	
11","4,949
						                    		
					                    	
87","1,650
						                    		
					                    	
29","4,618
						                    		
					                    	
64","1,539
						                    		
					                    	
21","3,720","1,240"
3,2023-06-22,"5,506
						                    		
					                    	
40","1,835
						                    		
						                    	
13","5,224
						                    		
					                    	
29","1,741
						                    		
					                    	
10","5,036
						                    		
					                    	
59","1,679
						                    		
					                    	
20","4,682
						                    		
					                    	
90","1,561
						                    		
					                    	
30",,
4,2023-06-21,"5,466
						                    		
					                    	
32","1,822
						                    		
						                    	
11","5,253
						                    		
					                    	
24","1,751
						                    		
					                    	
8","4,977
						                    		
					                    	
88","1,659
						                    		
					                    	
29","4,592
						                    		
					                    	
62","1,531
						                    		
					                    	
21",,
5,2023-06-20,"5,434
						                    		
					                    	
57","1,811
						                    		
						                    	
19","5,277
						                    		
					                    	
22","1,759
						                    		
					                    	
7","4,889
						                    		
					                    	
17","1,630
						                    		
					                    	
6","4,530
						                    		
					                    	
62","1,510
						                    		
					                    	
21",,
6,2023-06-19,"5,491
						                    		
					                    	
39","1,830
						                    		
						                    	
13","5,299","1,766","4,906
						                    		
					                    	
38","1,635
						                    		
					                    	
13","4,592
						                    		
					                    	
36","1,531
						                    		
					                    	
12",,
7,2023-06-16,"5,452
						                    		
					                    	
41","1,817
						                    		
						                    	
14","5,299
						                    		
					                    	
23","1,766
						                    		
					                    	
8","4,944
						                    		
					                    	
74","1,648
						                    		
					                    	
25","4,628
						                    		
					                    	
25","1,543
						                    		
					                    	
8",,
8,2023-06-15,"5,493
						                    		
					                    	
59","1,831
						                    		
						                    	
20","5,322
						                    		
					                    	
32","1,774
						                    		
					                    	
11","5,018
						                    		
					                    	
89","1,673
						                    		
					                    	
30","4,603
						                    		
					                    	
16","1,534
						                    		
					                    	
5",,
9,2023-06-14,"5,552
						                    		
					                    	
24","1,851
						                    		
						                    	
8","5,354
						                    		
					                    	
57","1,785
						                    		
					                    	
19","5,107
						                    		
					                    	
24","1,702
						                    		
					                    	
8","4,619
						                    		
					                    	
47","1,540
						                    		
					                    	
16",,
10,2023-06-13,"5,528
						                    		
					                    	
52","1,843
						                    		
						                    	
17","5,411
						                    		
					                    	
16","1,804
						                    		
					                    	
5","5,131
						                    		
					                    	
80","1,710
						                    		
					                    	
27","4,572","1,524",,
11,2023-06-12,"5,580
						                    		
					                    	
51","1,860
						                    		
						                    	
17","5,427
						                    		
					                    	
1","1,809
						                    		
					                    	
0","5,211
						                    		
					                    	
43","1,737
						                    		
					                    	
14",,,,
12,2023-06-09,"5,529
						                    		
					                    	
35","1,843
						                    		
						                    	
12","5,426
						                    		
					                    	
39","1,809
						                    		
					                    	
13","5,168
						                    		
					                    	
37","1,723
						                    		
					                    	
12","4,744
						                    		
					                    	
16","1,581
						                    		
					                    	
5",,
13,2023-06-08,"5,564
						                    		
					                    	
11","1,855
						                    		
						                    	
4","5,387
						                    		
					                    	
39","1,796
						                    		
					                    	
13","5,131
						                    		
					                    	
21","1,710
						                    		
					                    	
7","4,760
						                    		
					                    	
38","1,587
						                    		
					                    	
13",,
14,2023-06-07,"5,575
						                    		
					                    	
18","1,858
						                    		
						                    	
6","5,426
						                    		
					                    	
65","1,809
						                    		
					                    	
22","5,152
						                    		
					                    	
47","1,717
						                    		
					                    	
16","4,798","1,599","4,920","1,640"
15,2023-06-05,"5,593
						                    		
					                    	
35","1,864
						                    		
						                    	
12","5,491
						                    		
					                    	
35","1,830
						                    		
					                    	
12","5,199
						                    		
					                    	
74","1,733
						                    		
					                    	
25",,,,
16,2023-06-02,"5,628
						                    		
					                    	
39","1,876
						                    		
						                    	
13","5,456
						                    		
					                    	
43","1,819
						                    		
					                    	
14","5,125
						                    		
					                    	
8","1,708
						                    		
					                    	
3","4,994","1,665",,
17,2023-06-01,"5,589
						                    		
					                    	
6","1,863
						                    		
						                    	
2","5,413
						                    		
					                    	
26","1,804
						                    		
					                    	
9","5,133
						                    		
					                    	
61","1,711
						                    		
					                    	
20",,,,
18,2023-05-31,"5,595
						                    		
					                    	
17","1,865
						                    		
						                    	
6","5,387
						                    		
					                    	
33","1,796
						                    		
					                    	
11","5,194
						                    		
					                    	
72","1,731
						                    		
					                    	
24","4,942","1,647",,
19,2023-05-30,"5,578","1,859","5,420","1,807","5,122","1,707",,,,
